hunt_code,unresolved_sources,classification,notes,database_present,database_hunt_name,database_species,database_sex_type,database_weapon,database_hunt_type,database_hunt_class,database_boundary_id,db_allotment_res,db_allotment_nr,db_allotment_total,db_allotment_status,db_allotment_source,db_conservation_total,db_conservation_source,core_reconciled_bucket,core_resolution_status,core_likely_cause,core_live_shape_status,permit_confidence,permit_winner_source,permit_recommended_res,permit_recommended_nr,permit_recommended_total,permit_conflicting_sources,permit_database_alignment,remaining_split_bucket,remaining_matching_sources,remaining_matching_source_count,species_truth_families,conservation_table_present,conservation_table_total,conservation_table_hunt_names,conservation_table_comparison_statuses,conservation_table_row_count
DB1628,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Cache,Deer,Buck,Restricted Muzzleloader,General Season,General Season,29,,,1160,LIVE_DWR_TOTAL_ONLY,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,,,,,REVIEW_SOURCE_CONFLICT,HANUMBER,,,1160,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,,,,DEER_BUCK_DB_DIRECT,no,,,,0
DB1629,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Boulder/Kaiparowits,Deer,Buck,Restricted Rifle,General Season,General Season,455,,,960,LIVE_DWR_TOTAL_ONLY,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,,,,,REVIEW_SOURCE_CONFLICT,HANUMBER,,,960,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,,,,DEER_BUCK_DB_DIRECT,no,,,,0
DB1630,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Boulder/Kaiparowits,Deer,Buck,Restricted Muzzleloader,General Season,General Season,455,,,720,LIVE_DWR_TOTAL_ONLY,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,,,,,REVIEW_SOURCE_CONFLICT,HANUMBER,,,720,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,,,,DEER_BUCK_DB_DIRECT,no,,,,0
DB1631,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Box Elder,Deer,Buck,Any Legal Weapon (Early),General Season,General Season,607,,,1040,LIVE_DWR_TOTAL_ONLY,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,,,,,REVIEW_SOURCE_CONFLICT,HANUMBER,,,1040,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,,,,DEER_BUCK_DB_DIRECT,no,,,,0
DB1770,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Box Elder,Deer,Buck,Dedicated Hunter,General Season,General Season,607,,,688,LIVE_DWR_TOTAL_ONLY,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,,,,,REVIEW_SOURCE_CONFLICT,HANUMBER,,,688,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,,,,DEER_BUCK_DB_DIRECT,no,,,,0
DB1771,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Cache,Deer,Buck,Dedicated Hunter,General Season,General Season,29,,,588,LIVE_DWR_TOTAL_ONLY,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,,,,,REVIEW_SOURCE_CONFLICT,HANUMBER,,,588,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,,,,DEER_BUCK_DB_DIRECT,no,,,,0
DB1772,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Manti/San Rafael,Deer,Buck,Dedicated Hunter,General Season,General Season,619,,,573,LIVE_DWR_TOTAL_ONLY,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,,,,,REVIEW_SOURCE_CONFLICT,HANUMBER,,,573,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,,,,DEER_BUCK_DB_DIRECT,no,,,,0
DB1773,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Nebo,Deer,Buck,Dedicated Hunter,General Season,General Season,616,,,349,LIVE_DWR_TOTAL_ONLY,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,,,,,REVIEW_SOURCE_CONFLICT,HANUMBER,,,349,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,,,,DEER_BUCK_DB_DIRECT,no,,,,0
DB1775,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Fillmore,Deer,Buck,Dedicated Hunter,General Season,General Season,804,,,42,LIVE_DWR_TOTAL_ONLY,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,,,,,REVIEW_SOURCE_CONFLICT,HANUMBER,,,42,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,,,,DEER_BUCK_DB_DIRECT,no,,,,0
DB1777,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Kamas,Deer,Buck,Dedicated Hunter,General Season,General Season,611,,,55,LIVE_DWR_TOTAL_ONLY,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,,,,,REVIEW_SOURCE_CONFLICT,HANUMBER,,,55,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,,,,DEER_BUCK_DB_DIRECT,no,,,,0
DB1778,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,La Sal Mtns,Deer,Buck,Dedicated Hunter,General Season,General Season,617,,,67,LIVE_DWR_TOTAL_ONLY,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,,,,,REVIEW_SOURCE_CONFLICT,HANUMBER,,,67,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,,,,DEER_BUCK_DB_DIRECT,no,,,,0
DB1779,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Monroe,Deer,Buck,Dedicated Hunter,General Season,General Season,629,,,45,LIVE_DWR_TOTAL_ONLY,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,,,,,REVIEW_SOURCE_CONFLICT,HANUMBER,,,45,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,,,,DEER_BUCK_DB_DIRECT,no,,,,0
DB1780,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Mt Dutton,Deer,Buck,Dedicated Hunter,General Season,General Season,630,,,26,LIVE_DWR_TOTAL_ONLY,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,,,,,REVIEW_SOURCE_CONFLICT,HANUMBER,,,26,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,,,,DEER_BUCK_DB_DIRECT,no,,,,0
DB1781,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Nine Mile,Deer,Buck,Dedicated Hunter,General Season,General Season,615,,,62,LIVE_DWR_TOTAL_ONLY,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,,,,,REVIEW_SOURCE_CONFLICT,HANUMBER,,,62,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,,,,DEER_BUCK_DB_DIRECT,no,,,,0
DB1782,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,North Slope,Deer,Buck,Dedicated Hunter,General Season,General Season,612,,,340,LIVE_DWR_TOTAL_ONLY,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,,,,,REVIEW_SOURCE_CONFLICT,HANUMBER,,,340,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,,,,DEER_BUCK_DB_DIRECT,no,,,,0
DB1783,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Ogden,Deer,Buck,Dedicated Hunter,General Season,General Season,609,,,297,LIVE_DWR_TOTAL_ONLY,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,,,,,REVIEW_SOURCE_CONFLICT,HANUMBER,,,297,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,,,,DEER_BUCK_DB_DIRECT,no,,,,0
DB1785,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Panguitch Lake,Deer,Buck,Dedicated Hunter,General Season,General Season,634,,,112,LIVE_DWR_TOTAL_ONLY,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,,,,,REVIEW_SOURCE_CONFLICT,HANUMBER,,,112,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,,,,DEER_BUCK_DB_DIRECT,no,,,,0
DB1786,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Pine Valley,Deer,Buck,Dedicated Hunter,General Season,General Season,636,,,228,LIVE_DWR_TOTAL_ONLY,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,,,,,REVIEW_SOURCE_CONFLICT,HANUMBER,,,228,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,,,,DEER_BUCK_DB_DIRECT,no,,,,0
DB1787,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Boulder/Kaiparowits,Deer,Buck,Dedicated Hunter,General Season,General Season,455,,,70,LIVE_DWR_TOTAL_ONLY,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,,,,,REVIEW_SOURCE_CONFLICT,HANUMBER,,,70,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,,,,DEER_BUCK_DB_DIRECT,no,,,,0
DB1788,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Fishlake,Deer,Buck,Dedicated Hunter,General Season,General Season,633,,,49,LIVE_DWR_TOTAL_ONLY,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,,,,,REVIEW_SOURCE_CONFLICT,HANUMBER,,,49,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,,,,DEER_BUCK_DB_DIRECT,no,,,,0
DB1790,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,"San Juan, Abajo Mtns",Deer,Buck,Dedicated Hunter,General Season,General Season,618,,,261,LIVE_DWR_TOTAL_ONLY,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,,,,,REVIEW_SOURCE_CONFLICT,HANUMBER,,,261,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,,,,DEER_BUCK_DB_DIRECT,no,,,,0
DB1791,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Vernal/Bonanza,Deer,Buck,Dedicated Hunter,General Season,General Season,614,,,45,LIVE_DWR_TOTAL_ONLY,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,,,,,REVIEW_SOURCE_CONFLICT,HANUMBER,,,45,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,,,,DEER_BUCK_DB_DIRECT,no,,,,0
DB1792,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Yellowstone,Deer,Buck,Dedicated Hunter,General Season,General Season,613,,,63,LIVE_DWR_TOTAL_ONLY,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,,,,,REVIEW_SOURCE_CONFLICT,HANUMBER,,,63,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,,,,DEER_BUCK_DB_DIRECT,no,,,,0
DB1793,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Southwest Desert,Deer,Buck,Dedicated Hunter,General Season,General Season,625,,,46,LIVE_DWR_TOTAL_ONLY,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,,,,,REVIEW_SOURCE_CONFLICT,HANUMBER,,,46,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,,,,DEER_BUCK_DB_DIRECT,no,,,,0
DB1794,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,"Wasatch Mtns, East",Deer,Buck,Dedicated Hunter,General Season,General Season,621,,,271,LIVE_DWR_TOTAL_ONLY,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,,,,,REVIEW_SOURCE_CONFLICT,HANUMBER,,,271,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,,,,DEER_BUCK_DB_DIRECT,no,,,,0
DB1795,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,"Wasatch Mtns, West",Deer,Buck,Dedicated Hunter,General Season,General Season,620,,,701,LIVE_DWR_TOTAL_ONLY,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,,,,,REVIEW_SOURCE_CONFLICT,HANUMBER,,,701,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,,,,DEER_BUCK_DB_DIRECT,no,,,,0
DB1798,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Zion,Deer,Buck,Dedicated Hunter,General Season,General Season,635,,,256,LIVE_DWR_TOTAL_ONLY,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,,,,,REVIEW_SOURCE_CONFLICT,HANUMBER,,,256,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,,,,DEER_BUCK_DB_DIRECT,no,,,,0
DB1799,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Chalk Creek,Deer,Buck,Dedicated Hunter,General Season,General Season,69,,,292,LIVE_DWR_TOTAL_ONLY,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,,,,,REVIEW_SOURCE_CONFLICT,HANUMBER,,,292,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,,,,DEER_BUCK_DB_DIRECT,no,,,,0
DB1800,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,East Canyon,Deer,Buck,Dedicated Hunter,General Season,General Season,276,,,186,LIVE_DWR_TOTAL_ONLY,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,,,,,REVIEW_SOURCE_CONFLICT,HANUMBER,,,186,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,,,,DEER_BUCK_DB_DIRECT,no,,,,0
DB1801,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Morgan-South Rich,Deer,Buck,Dedicated Hunter,General Season,General Season,117,,,211,LIVE_DWR_TOTAL_ONLY,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,,,,,REVIEW_SOURCE_CONFLICT,HANUMBER,,,211,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,,,,DEER_BUCK_DB_DIRECT,no,,,,0
DB1802,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,"Beaver, East",Deer,Buck,Dedicated Hunter,General Season,General Season,685,,,61,LIVE_DWR_TOTAL_ONLY,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,,,,,REVIEW_SOURCE_CONFLICT,HANUMBER,,,61,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,,,,DEER_BUCK_DB_DIRECT,no,,,,0
DB1803,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,"Beaver, West",Deer,Buck,Dedicated Hunter,General Season,General Season,672,,,44,LIVE_DWR_TOTAL_ONLY,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,,,,,REVIEW_SOURCE_CONFLICT,HANUMBER,,,44,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,,,,DEER_BUCK_DB_DIRECT,no,,,,0
DB1804,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Cedar/Stansbury,Deer,Buck,Dedicated Hunter,General Season,General Season,925,,,42,LIVE_DWR_TOTAL_ONLY,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,,,,,REVIEW_SOURCE_CONFLICT,HANUMBER,,,42,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,,,,DEER_BUCK_DB_DIRECT,no,,,,0
DB1805,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Oquirrh/Tintic,Deer,Buck,Dedicated Hunter,General Season,General Season,927,,,65,LIVE_DWR_TOTAL_ONLY,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,,,,,REVIEW_SOURCE_CONFLICT,HANUMBER,,,65,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,,,,DEER_BUCK_DB_DIRECT,no,,,,0
DB1806,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,"West Desert, Swasey",Deer,Buck,Dedicated Hunter,General Season,General Season,926,,,36,LIVE_DWR_TOTAL_ONLY,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,,,,,REVIEW_SOURCE_CONFLICT,HANUMBER,,,36,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,,,,DEER_BUCK_DB_DIRECT,no,,,,0
DS1000,CORE_REVIEW,SPORTSMAN_CONSERVATION_OVERLAP_REVIEW,Code is current sportsman in review set and also appears in conservation table; keep families separate.,yes,Desert Bighorn Sheep - Statewide Permit,Desert Bighorn Sheep,Male Only,Any Legal Weapon,Statewide,,5110,1,0,1,FULL_SPLIT,Utah DWR 2025-2027 Conservation Permit Database,1,2026 CONSERVATION  PERMITS.pdf (rows by hunt code); ingested 2026-05-30,SPORTSMAN_CONTINUITY_LAYER_REVIEW,REVIEW,SPORTSMAN_CURRENT_PLANNER,LIVE_DWR_NO_QUOTA_PUBLISHED,,,,,,,,,,,CONSERVATION_PERMITS_DIRECT,yes,1,Statewide,SOURCE_MATCHES_RECOMMENDED,1
DS1002,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,CONSERVATION_TABLE_DB_MATCH,Conservation source matches DATABASE conservation field.,yes,"Kaiparowits, East",Desert Bighorn Sheep,Male Only,Any Legal Weapon,Conservation,Conservation,98,1,0,1,FULL_SPLIT,Utah DWR 2025-2027 Conservation Permit Database,1,2026 CONSERVATION  PERMITS.pdf (rows by hunt code); ingested 2026-05-30,,,,,REVIEW_REQUIRED,NONE_EXTERNAL_DATABASE_REFERENCE_ONLY,,,,,DATABASE_HAS_VALUE_NO_RECOMMENDATION,database_only_external_missing,,0,CONSERVATION_PERMITS_DIRECT,yes,1,"Kaiparowits, East",SOURCE_TOTAL_MATCHES_DATABASE,1
DS1003,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,CONSERVATION_TABLE_DB_MATCH,Conservation source matches DATABASE conservation field.,yes,"Kaiparowits, Escalante East/West",Desert Bighorn Sheep,Male Only,Any Legal Weapon,Conservation,Conservation,5141,1,0,1,FULL_SPLIT,Utah DWR 2025-2027 Conservation Permit Database,1,2026 CONSERVATION  PERMITS.pdf (rows by hunt code); ingested 2026-05-30,,,,,REVIEW_REQUIRED,NONE_EXTERNAL_DATABASE_REFERENCE_ONLY,,,,,DATABASE_HAS_VALUE_NO_RECOMMENDATION,database_only_external_missing,,0,CONSERVATION_PERMITS_DIRECT,yes,1,"Kaiparowits, Escalante",SOURCE_TOTAL_MATCHES_DATABASE,1
DS1004,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,CONSERVATION_TABLE_DB_MATCH,Conservation source matches DATABASE conservation field.,yes,"San Rafael, Dirty Devil",Desert Bighorn Sheep,Male Only,Any Legal Weapon,Conservation,Conservation,193,1,0,1,FULL_SPLIT,Utah DWR 2025-2027 Conservation Permit Database,1,2026 CONSERVATION  PERMITS.pdf (rows by hunt code); ingested 2026-05-30,,,,,REVIEW_REQUIRED,NONE_EXTERNAL_DATABASE_REFERENCE_ONLY,,,,,DATABASE_HAS_VALUE_NO_RECOMMENDATION,database_only_external_missing,,0,CONSERVATION_PERMITS_DIRECT,yes,1,"San Rafael, Dirty Devil",SOURCE_TOTAL_MATCHES_DATABASE,1
DS1006,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,CONSERVATION_TABLE_DB_MATCH,Conservation source matches DATABASE conservation field.,yes,"Kaiparowits, West",Desert Bighorn Sheep,Male Only,Any Legal Weapon,Conservation,Conservation,100,1,0,1,FULL_SPLIT,Utah DWR 2025-2027 Conservation Permit Database,1,2026 CONSERVATION  PERMITS.pdf (rows by hunt code); ingested 2026-05-30,,,,,REVIEW_REQUIRED,NONE_EXTERNAL_DATABASE_REFERENCE_ONLY,,,,,DATABASE_HAS_VALUE_NO_RECOMMENDATION,database_only_external_missing,,0,CONSERVATION_PERMITS_DIRECT,yes,1,"Kaiparowits, West",SOURCE_TOTAL_MATCHES_DATABASE,1
DS1007,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,CONSERVATION_TABLE_DB_MATCH,Conservation source matches DATABASE conservation field.,yes,"San Rafael, South",Desert Bighorn Sheep,Male Only,Any Legal Weapon,Conservation,Conservation,195,1,0,1,FULL_SPLIT,Utah DWR 2025-2027 Conservation Permit Database,2,2026 CONSERVATION  PERMITS.pdf (rows by hunt code); ingested 2026-05-30,,,,,REVIEW_REQUIRED,NONE_EXTERNAL_DATABASE_REFERENCE_ONLY,,,,,DATABASE_HAS_VALUE_NO_RECOMMENDATION,database_only_external_missing,,0,CONSERVATION_PERMITS_DIRECT,yes,2,"La Sal, Potash/South Cisco",SOURCE_DIFFERS_FROM_CURRENT_RECONCILIATION,1
DS6601,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,"Kaiparowits, East",Desert Bighorn Sheep,Male Only,Any Legal Weapon,Once-in-a-lifetime,Once-in-a-lifetime,98,10,3,13,LIVE_DWR_RES_NR_SPLIT,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,,,,,REVIEW_SOURCE_CONFLICT,HANUMBER,10,3,13,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,true_source_conflicts,HANUMBER|HUNTTABLE,2,,no,,,,0
DS6602,CORE_REVIEW,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,"Kaiparowits, Escalante",Desert Bighorn Sheep,Male Only,Any Legal Weapon,Once-in-a-lifetime,,99,7,1,8,HISTORICAL_2025_ONLY_NOT_ACTIVE_2026,DWR_HUNT_PLANNER_HaNumber_MATCHED_PERMITS_2026,,,DATABASE_REFERENCE_NOT_LIVE_TABLE,REVIEW,DATABASE_REFERENCE_OR_ARCHIVE_REVIEW,,,,,,,,,,,,,no,,,,0
DS6605,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,CONSERVATION_TABLE_DB_MATCH,Conservation source matches DATABASE conservation field.,yes,"Pine Valley, Beaver Dam",Desert Bighorn Sheep,Male Only,Any Legal Weapon,Conservation,Conservation,305,1,0,1,FULL_SPLIT,Utah DWR 2025-2027 Conservation Permit Database,1,2026 CONSERVATION  PERMITS.pdf (rows by hunt code); ingested 2026-05-30,,,,,REVIEW_REQUIRED,NONE_EXTERNAL_DATABASE_REFERENCE_ONLY,,,,,DATABASE_HAS_VALUE_NO_RECOMMENDATION,database_only_external_missing,,0,CONSERVATION_PERMITS_DIRECT,yes,1,"Pine Valley, Beaver Dam",SOURCE_TOTAL_MATCHES_DATABASE,1
DS6609,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,"San Rafael, North",Desert Bighorn Sheep,Male Only,Any Legal Weapon,Once-in-a-lifetime,Once-in-a-lifetime,194,8,0,8,LIVE_DWR_RES_NR_SPLIT,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,,,,,REVIEW_SOURCE_CONFLICT,HANUMBER,8,0,8,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,true_source_conflicts,HANUMBER|HUNTTABLE,2,,no,,,,0
EA1007,CORE_REVIEW,DATABASE_MISSING,Hunt code is unresolved and is not present in DATABASE.csv.,no,,,,,,,,,,,,,,,CURRENT_PLANNER_EXTRA_REVIEW,REVIEW,OTHER_CURRENT_PLANNER_NOT_IN_2025_BIBLE,LIVE_DWR_RES_NR_SPLIT,,,,,,,,,,,,no,,,,0
EA1010,REMAINING_AFTER_3_SOURCE_RULE,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,"Cache, Rich",Elk,Antlerless,Any Legal Weapon,General Season,Antlerless,38,18,2,20,LIVE_DWR_RES_NR_SPLIT,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,,,,,,,,,,,,true_source_conflicts,HUNTTABLE,1,,no,,,,0
EA1011,REMAINING_AFTER_3_SOURCE_RULE,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,"Cache, Richards Hollow",Elk,Antlerless,Any Legal Weapon,General Season,Antlerless,39,9,1,10,LIVE_DWR_RES_NR_SPLIT,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,,,,,,,,,,,,true_source_conflicts,HANUMBER,1,,no,,,,0
EA1021,REMAINING_AFTER_3_SOURCE_RULE,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,Nebo,Elk,Antlerless,Any Legal Weapon,General Season,Antlerless,616,207,23,230,LIVE_DWR_RES_NR_SPLIT,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,,,,,,,,,,,,true_source_conflicts,HUNTTABLE,1,,no,,,,0
EA1033,REMAINING_AFTER_3_SOURCE_RULE,DATABASE_HAS_VALUE_NO_RECOMMENDED_VALUE,DATABASE has an allotment value but unresolved source winner has no value.,yes,Kamas,Elk,Antlerless,Any Legal Weapon,General Season,Antlerless,611,112,13,125,LIVE_DWR_RES_NR_SPLIT,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,,,,,,,,,,,,true_source_conflicts,HUNTTABLE,1,,no,,,,0
