hunt_code,unresolved_sources,classification,notes,database_present,database_hunt_name,database_species,database_sex_type,database_weapon,database_hunt_type,database_hunt_class,database_boundary_id,db_allotment_res,db_allotment_nr,db_allotment_total,permit_recommended_res,permit_recommended_nr,permit_recommended_total,conservation_table_row_count
DB1521,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,"San Juan, Abajo Mtns",Deer,Buck,Archery,General Season,General Season,618,,,560,,,560,0
DB1522,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Vernal/Bonanza,Deer,Buck,Archery,General Season,General Season,614,,,420,,,420,0
DB1523,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Yellowstone,Deer,Buck,Archery,General Season,General Season,613,,,280,,,280,0
DB1524,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Southwest Desert,Deer,Buck,Archery,General Season,General Season,625,,,100,,,100,0
DB1525,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,"Wasatch Mtns, East",Deer,Buck,Archery,General Season,General Season,621,,,1300,,,1300,0
DB1526,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,"Wasatch Mtns, West",Deer,Buck,Archery,General Season,General Season,620,,,1580,,,1580,0
DB1529,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Zion,Deer,Buck,Archery,General Season,General Season,635,,,675,,,675,0
DB1531,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Box Elder,Deer,Buck,Any Legal Weapon (Late),General Season,General Season,607,,,2080,,,2080,0
DB1533,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Manti/San Rafael,Deer,Buck,Any Legal Weapon (Late),General Season,General Season,619,,,5400,,,5400,0
DB1534,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Nebo,Deer,Buck,Any Legal Weapon (Late),General Season,General Season,616,,,3180,,,3180,0
DB1536,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Fillmore,Deer,Buck,Any Legal Weapon (Late),General Season,General Season,804,,,920,,,920,0
DB1538,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Kamas,Deer,Buck,Any Legal Weapon (Late),General Season,General Season,611,,,400,,,400,0
DB1539,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,La Sal Mtns,Deer,Buck,Any Legal Weapon (Late),General Season,General Season,617,,,1080,,,1080,0
DB1540,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Monroe,Deer,Buck,Any Legal Weapon (Late),General Season,General Season,629,,,660,,,660,0
DB1541,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Mt Dutton,Deer,Buck,Any Legal Weapon (Late),General Season,General Season,630,,,240,,,240,0
DB1542,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Nine Mile,Deer,Buck,Any Legal Weapon (Late),General Season,General Season,615,,,560,,,560,0
DB1543,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,North Slope,Deer,Buck,Any Legal Weapon (Late),General Season,General Season,612,,,1240,,,1240,0
DB1544,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Ogden,Deer,Buck,Any Legal Weapon (Late),General Season,General Season,609,,,1620,,,1620,0
DB1546,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Panguitch Lake,Deer,Buck,Any Legal Weapon (Late),General Season,General Season,634,,,1000,,,1000,0
DB1547,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Pine Valley,Deer,Buck,Any Legal Weapon (Late),General Season,General Season,636,,,1200,,,1200,0
DB1549,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Fishlake,Deer,Buck,Any Legal Weapon (Late),General Season,General Season,633,,,520,,,520,0
DB1551,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,"San Juan, Abajo Mtns",Deer,Buck,Any Legal Weapon (Late),General Season,General Season,618,,,1680,,,1680,0
DB1552,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Vernal/Bonanza,Deer,Buck,Any Legal Weapon (Late),General Season,General Season,614,,,700,,,700,0
DB1553,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Yellowstone,Deer,Buck,Any Legal Weapon (Late),General Season,General Season,613,,,840,,,840,0
DB1554,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Southwest Desert,Deer,Buck,Any Legal Weapon (Late),General Season,General Season,625,,,300,,,300,0
DB1555,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,"Wasatch Mtns, East",Deer,Buck,Any Legal Weapon (Late),General Season,General Season,621,,,3900,,,3900,0
DB1556,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,"Wasatch Mtns, West",Deer,Buck,Any Legal Weapon (Late),General Season,General Season,620,,,4740,,,4740,0
DB1559,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Zion,Deer,Buck,Any Legal Weapon (Late),General Season,General Season,635,,,1350,,,1350,0
DB1561,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Box Elder,Deer,Buck,Muzzleloader,General Season,General Season,607,,,1040,,,1040,0
DB1563,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Manti/San Rafael,Deer,Buck,Muzzleloader,General Season,General Season,619,,,1800,,,1800,0
DB1564,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Nebo,Deer,Buck,Muzzleloader,General Season,General Season,616,,,1060,,,1060,0
DB1566,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Fillmore,Deer,Buck,Muzzleloader,General Season,General Season,804,,,460,,,460,0
DB1568,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Kamas,Deer,Buck,Muzzleloader,General Season,General Season,611,,,200,,,200,0
DB1569,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,La Sal Mtns,Deer,Buck,Muzzleloader,General Season,General Season,617,,,360,,,360,0
DB1570,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Monroe,Deer,Buck,Muzzleloader,General Season,General Season,629,,,220,,,220,0
DB1571,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Mt Dutton,Deer,Buck,Muzzleloader,General Season,General Season,630,,,80,,,80,0
DB1572,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Nine Mile,Deer,Buck,Muzzleloader,General Season,General Season,615,,,280,,,280,0
DB1573,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,North Slope,Deer,Buck,Muzzleloader,General Season,General Season,612,,,620,,,620,0
DB1574,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Ogden,Deer,Buck,Muzzleloader,General Season,General Season,609,,,540,,,540,0
DB1576,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Panguitch Lake,Deer,Buck,Muzzleloader,General Season,General Season,634,,,500,,,500,0
DB1577,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Pine Valley,Deer,Buck,Muzzleloader,General Season,General Season,636,,,600,,,600,0
DB1579,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Fishlake,Deer,Buck,Muzzleloader,General Season,General Season,633,,,260,,,260,0
DB1581,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,"San Juan, Abajo Mtns",Deer,Buck,Muzzleloader,General Season,General Season,618,,,560,,,560,0
DB1582,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Vernal/Bonanza,Deer,Buck,Muzzleloader,General Season,General Season,614,,,280,,,280,0
DB1583,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Yellowstone,Deer,Buck,Muzzleloader,General Season,General Season,613,,,280,,,280,0
DB1584,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Southwest Desert,Deer,Buck,Muzzleloader,General Season,General Season,625,,,100,,,100,0
DB1585,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,"Wasatch Mtns, East",Deer,Buck,Muzzleloader,General Season,General Season,621,,,1300,,,1300,0
DB1586,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,"Wasatch Mtns, West",Deer,Buck,Muzzleloader,General Season,General Season,620,,,1580,,,1580,0
DB1589,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Zion,Deer,Buck,Muzzleloader,General Season,General Season,635,,,675,,,675,0
DB1591,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Fillmore,Deer,Buck,Any Legal Weapon (Early),General Season,General Season,804,,,460,,,460,0
DB1592,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Kamas,Deer,Buck,Any Legal Weapon (Early),General Season,General Season,611,,,200,,,200,0
DB1593,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Nine Mile,Deer,Buck,Any Legal Weapon (Early),General Season,General Season,615,,,280,,,280,0
DB1594,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Panguitch Lake,Deer,Buck,Any Legal Weapon (Early),General Season,General Season,634,,,500,,,500,0
DB1595,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Pine Valley,Deer,Buck,Any Legal Weapon (Early),General Season,General Season,636,,,600,,,600,0
DB1596,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Fishlake,Deer,Buck,Any Legal Weapon (Early),General Season,General Season,633,,,260,,,260,0
DB1597,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Zion,Deer,Buck,Any Legal Weapon (Early),General Season,General Season,635,,,675,,,675,0
DB1598,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,North Slope,Deer,Buck,Any Legal Weapon (Early),General Season,General Season,612,,,620,,,620,0
DB1599,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Chalk Creek,Deer,Buck,Any Legal Weapon (Late),General Season,General Season,69,,,880,,,880,0
DB1600,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Chalk Creek,Deer,Buck,Archery,General Season,General Season,69,,,440,,,440,0
DB1601,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Chalk Creek,Deer,Buck,Any Legal Weapon (Early),General Season,General Season,69,,,440,,,440,0
DB1602,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Chalk Creek,Deer,Buck,Muzzleloader,General Season,General Season,69,,,440,,,440,0
DB1603,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,East Canyon,Deer,Buck,Any Legal Weapon (Late),General Season,General Season,276,,,760,,,760,0
DB1604,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,East Canyon,Deer,Buck,Archery,General Season,General Season,276,,,380,,,380,0
DB1605,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,East Canyon,Deer,Buck,Any Legal Weapon (Early),General Season,General Season,276,,,380,,,380,0
DB1606,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,East Canyon,Deer,Buck,Muzzleloader,General Season,General Season,276,,,380,,,380,0
DB1607,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Morgan-South Rich,Deer,Buck,Any Legal Weapon (Late),General Season,General Season,117,,,640,,,640,0
DB1608,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Morgan-South Rich,Deer,Buck,Archery,General Season,General Season,117,,,320,,,320,0
DB1610,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Morgan-South Rich,Deer,Buck,Muzzleloader,General Season,General Season,117,,,320,,,320,0
DB1611,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,"Beaver, East",Deer,Buck,Archery,General Season,General Season,685,,,440,,,440,0
DB1612,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,"Beaver, East",Deer,Buck,Muzzleloader,General Season,General Season,685,,,440,,,440,0
DB1613,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,"Beaver, East",Deer,Buck,Any Legal Weapon (Late),General Season,General Season,685,,,1320,,,1320,0
DB1614,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,"Beaver, West",Deer,Buck,Archery,General Season,General Season,672,,,130,,,130,0
DB1615,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,"Beaver, West",Deer,Buck,Restricted Muzzleloader,General Season,General Season,672,,,130,,,130,0
DB1616,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,"Beaver, West",Deer,Buck,Restricted Rifle,General Season,General Season,672,,,390,,,390,0
DB1617,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,"West Desert, Swasey",Deer,Buck,Archery,General Season,General Season,926,,,80,,,80,0
DB1618,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,"West Desert, Swasey",Deer,Buck,Muzzleloader,General Season,General Season,926,,,80,,,80,0
DB1619,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,"West Desert, Swasey",Deer,Buck,Any Legal Weapon (Late),General Season,General Season,926,,,240,,,240,0
DB1620,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Oquirrh/Tintic,Deer,Buck,Archery,General Season,General Season,927,,,450,,,450,0
DB1621,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Oquirrh/Tintic,Deer,Buck,Muzzleloader,General Season,General Season,927,,,450,,,450,0
DB1622,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Oquirrh/Tintic,Deer,Buck,Any Legal Weapon (Late),General Season,General Season,927,,,1350,,,1350,0
DB1623,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Cedar/Stansbury,Deer,Buck,Archery,General Season,General Season,925,,,250,,,250,0
DB1624,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Cedar/Stansbury,Deer,Buck,Muzzleloader,General Season,General Season,925,,,250,,,250,0
DB1625,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Cedar/Stansbury,Deer,Buck,Any Legal Weapon (Late),General Season,General Season,925,,,750,,,750,0
DB1627,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Cache,Deer,Buck,Restricted Rifle,General Season,General Season,29,,,3480,,,3480,0
DB1628,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Cache,Deer,Buck,Restricted Muzzleloader,General Season,General Season,29,,,1160,,,1160,0
DB1629,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Boulder/Kaiparowits,Deer,Buck,Restricted Rifle,General Season,General Season,455,,,960,,,960,0
DB1630,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Boulder/Kaiparowits,Deer,Buck,Restricted Muzzleloader,General Season,General Season,455,,,720,,,720,0
DB1631,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Box Elder,Deer,Buck,Any Legal Weapon (Early),General Season,General Season,607,,,1040,,,1040,0
DB1770,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Box Elder,Deer,Buck,Dedicated Hunter,General Season,General Season,607,,,688,,,688,0
DB1771,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Cache,Deer,Buck,Dedicated Hunter,General Season,General Season,29,,,588,,,588,0
DB1772,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Manti/San Rafael,Deer,Buck,Dedicated Hunter,General Season,General Season,619,,,573,,,573,0
DB1773,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Nebo,Deer,Buck,Dedicated Hunter,General Season,General Season,616,,,349,,,349,0
DB1775,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Fillmore,Deer,Buck,Dedicated Hunter,General Season,General Season,804,,,42,,,42,0
DB1777,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Kamas,Deer,Buck,Dedicated Hunter,General Season,General Season,611,,,55,,,55,0
DB1778,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,La Sal Mtns,Deer,Buck,Dedicated Hunter,General Season,General Season,617,,,67,,,67,0
DB1779,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Monroe,Deer,Buck,Dedicated Hunter,General Season,General Season,629,,,45,,,45,0
DB1780,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Mt Dutton,Deer,Buck,Dedicated Hunter,General Season,General Season,630,,,26,,,26,0
DB1781,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Nine Mile,Deer,Buck,Dedicated Hunter,General Season,General Season,615,,,62,,,62,0
DB1782,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,North Slope,Deer,Buck,Dedicated Hunter,General Season,General Season,612,,,340,,,340,0
DB1783,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Ogden,Deer,Buck,Dedicated Hunter,General Season,General Season,609,,,297,,,297,0
DB1785,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Panguitch Lake,Deer,Buck,Dedicated Hunter,General Season,General Season,634,,,112,,,112,0
DB1786,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Pine Valley,Deer,Buck,Dedicated Hunter,General Season,General Season,636,,,228,,,228,0
DB1787,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Boulder/Kaiparowits,Deer,Buck,Dedicated Hunter,General Season,General Season,455,,,70,,,70,0
DB1788,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Fishlake,Deer,Buck,Dedicated Hunter,General Season,General Season,633,,,49,,,49,0
DB1790,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,"San Juan, Abajo Mtns",Deer,Buck,Dedicated Hunter,General Season,General Season,618,,,261,,,261,0
DB1791,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Vernal/Bonanza,Deer,Buck,Dedicated Hunter,General Season,General Season,614,,,45,,,45,0
DB1792,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Yellowstone,Deer,Buck,Dedicated Hunter,General Season,General Season,613,,,63,,,63,0
DB1793,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Southwest Desert,Deer,Buck,Dedicated Hunter,General Season,General Season,625,,,46,,,46,0
DB1794,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,"Wasatch Mtns, East",Deer,Buck,Dedicated Hunter,General Season,General Season,621,,,271,,,271,0
DB1795,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,"Wasatch Mtns, West",Deer,Buck,Dedicated Hunter,General Season,General Season,620,,,701,,,701,0
DB1798,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Zion,Deer,Buck,Dedicated Hunter,General Season,General Season,635,,,256,,,256,0
DB1799,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Chalk Creek,Deer,Buck,Dedicated Hunter,General Season,General Season,69,,,292,,,292,0
DB1800,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,East Canyon,Deer,Buck,Dedicated Hunter,General Season,General Season,276,,,186,,,186,0
DB1801,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Morgan-South Rich,Deer,Buck,Dedicated Hunter,General Season,General Season,117,,,211,,,211,0
DB1802,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,"Beaver, East",Deer,Buck,Dedicated Hunter,General Season,General Season,685,,,61,,,61,0
DB1803,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,"Beaver, West",Deer,Buck,Dedicated Hunter,General Season,General Season,672,,,44,,,44,0
DB1804,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Cedar/Stansbury,Deer,Buck,Dedicated Hunter,General Season,General Season,925,,,42,,,42,0
DB1805,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,Oquirrh/Tintic,Deer,Buck,Dedicated Hunter,General Season,General Season,927,,,65,,,65,0
DB1806,PERMIT_UNRESOLVED,DATABASE_MATCHES_RECOMMENDED,Unresolved source recommendation matches DATABASE allotment total.,yes,"West Desert, Swasey",Deer,Buck,Dedicated Hunter,General Season,General Season,926,,,36,,,36,0
DS1000,CORE_REVIEW,SPORTSMAN_CONSERVATION_OVERLAP_REVIEW,Code is current sportsman in review set and also appears in conservation table; keep families separate.,yes,Desert Bighorn Sheep - Statewide Permit,Desert Bighorn Sheep,Male Only,Any Legal Weapon,Statewide,,5110,1,0,1,,,,1
DS1002,PERMIT_UNRESOLVED|REMAINING_AFTER_3_SOURCE_RULE,CONSERVATION_TABLE_DB_MATCH,Conservation source matches DATABASE conservation field.,yes,"Kaiparowits, East",Desert Bighorn Sheep,Male Only,Any Legal Weapon,Conservation,Conservation,98,1,0,1,,,,1
